platform,simulator,dataset_variant,perturbation,replicate,summary,score,delta,expected_damaged_layer,evidence_state
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,2,Spatial Tissue Fidelity,0.7699307283410229,-0.19752291700305258,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,2,Novelty-Gated Plausibility,0.0003466256617464598,-6.248660496731382e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,3,Balanced Realism,0.8180300520161637,-0.15188640062163739,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,3,Spatial Tissue Fidelity,0.7649384445152257,-0.20251520082884977,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,3,Novelty-Gated Plausibility,0.00034504634694066197,-6.406591977311165e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,4,Balanced Realism,0.8241053112486522,-0.14581114138914897,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,4,Spatial Tissue Fidelity,0.7730387901585437,-0.1944148551855318,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_jitter_high,4,Novelty-Gated Plausibility,0.00034760890072425604,-6.150336598951758e-05,spatial,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,0,Balanced Realism,0.9269696931842298,-0.04294675945357129,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,0,Spatial Tissue Fidelity,0.9497138673264294,-0.017739778017646146,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,0,Novelty-Gated Plausibility,0.0006807252750418236,0.00027161300832805,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,1,Balanced Realism,0.9260591097684272,-0.04385734286937393,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,1,Spatial Tissue Fidelity,0.948283305888909,-0.019170339455166552,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,1,Novelty-Gated Plausibility,0.0006798334216394466,0.00027072115492567296,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,2,Balanced Realism,0.9251503353375171,-0.044766117300284014,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,2,Spatial Tissue Fidelity,0.9468860778907381,-0.020567567453337432,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,2,Novelty-Gated Plausibility,0.0003870560756237054,-2.20561910900682e-05,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,3,Balanced Realism,0.9292020657291028,-0.04071438690869833,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,3,Spatial Tissue Fidelity,0.9526147211475432,-0.014838924196532322,expression,computed
Visium,SRTsim-rb-tissue,Spapros,dropout_inflation_low,3,Novelty-Gated Plausibility,0.0005910374547293047,0.00018192518801553103,expression,computed
